omp_num_threads,graph,order,size,time,iterations,error,technique
"32","soc-LiveJournal1","4847571","68993773","979.582","50","0","pagerankUniform"
"32","soc-LiveJournal1","4847571","68993773","1238.499","50","1.4173e-8","pagerankHybrid"
"48","soc-LiveJournal1","4847571","68993773","805.687","50","0","pagerankUniform"
"48","soc-LiveJournal1","4847571","68993773","1108.808","50","2.5879e-8","pagerankHybrid"
"2","coPapersCiteseer","434102","32073440","1306.654","50","0","pagerankUniform"
"2","coPapersCiteseer","434102","32073440","1336.254","50","0","pagerankHybrid"
"4","coPapersCiteseer","434102","32073440","668.533","50","0","pagerankUniform"
"4","coPapersCiteseer","434102","32073440","697.251","50","0","pagerankHybrid"
"8","coPapersCiteseer","434102","32073440","411.14","50","0","pagerankUniform"
"8","coPapersCiteseer","434102","32073440","411.176","50","0","pagerankHybrid"
"16","coPapersCiteseer","434102","32073440","299.852","50","0","pagerankUniform"
"16","coPapersCiteseer","434102","32073440","330.466","50","0","pagerankHybrid"
"28","coPapersCiteseer","434102","32073440","210.836","50","0","pagerankUniform"
"28","coPapersCiteseer","434102","32073440","231.212","50","0","pagerankHybrid"
"32","coPapersCiteseer","434102","32073440","213.105","50","0","pagerankUniform"
"32","coPapersCiteseer","434102","32073440","231.592","50","0","pagerankHybrid"
"48","coPapersCiteseer","434102","32073440","212.052","50","0","pagerankUniform"
"48","coPapersCiteseer","434102","32073440","208.679","50","0","pagerankHybrid"
"2","coPapersDBLP","540486","30491458","1293.484","48","0","pagerankUniform"
"2","coPapersDBLP","540486","30491458","1306.324","48","0","pagerankHybrid"
"4","coPapersDBLP","540486","30491458","677","48","0","pagerankUniform"
"4","coPapersDBLP","540486","30491458","686.653","48","0","pagerankHybrid"
"8","coPapersDBLP","540486","30491458","356.113","48","0","pagerankUniform"
"8","coPapersDBLP","540486","30491458","373.793","48","0","pagerankHybrid"
"16","coPapersDBLP","540486","30491458","203.709","48","0","pagerankUniform"
"16","coPapersDBLP","540486","30491458","228.014","48","0","pagerankHybrid"
"28","coPapersDBLP","540486","30491458","179.352","48","0","pagerankUniform"
"28","coPapersDBLP","540486","30491458","204.572","48","0","pagerankHybrid"
"32","coPapersDBLP","540486","30491458","148.868","48","0","pagerankUniform"
"32","coPapersDBLP","540486","30491458","193.836","48","0","pagerankHybrid"
"48","coPapersDBLP","540486","30491458","141.253","48","0","pagerankUniform"
"48","coPapersDBLP","540486","30491458","171.092","48","0","pagerankHybrid"
"2","indochina-2004","7414866","194109311","10139.406","59","0","pagerankUniform"
"2","indochina-2004","7414866","194109311","10202.304","59","0","pagerankHybrid"
"4","indochina-2004","7414866","194109311","7275.811","59","0","pagerankUniform"
"4","indochina-2004","7414866","194109311","7712.278","59","1.2554e-9","pagerankHybrid"
"8","indochina-2004","7414866","194109311","4480.388","60","0","pagerankUniform"
"8","indochina-2004","7414866","194109311","5012.29","60","1.546e-7","pagerankHybrid"
